descricao_produto,IA_PRODUTO,IA_LABORATORIO,IA_TIPO DA UNIDADE,IA_QUANTIDADE MG (POR UNIDADE/ML),IA_QUANTIDADE ML,IA_QUANTIDADE UI,IA_QUANTIDADE UNIDADES
CIPROFLOXACINO 2 MG / 100 ML,CIPROFLOXACINO,,SOLUCAO,"0,02",100,,
AAS 100 MG,AAS,,UNIDADE,"100,00",,,
"LEVEL 0 , 02 MG 0 , 1 MG COM 21 CP",LEVEL,,COMPRIMIDO/CAPSULA,"0,02",,,21
"LEVEL 0 , 02 MG 0 , 1 MG COM 63 CP",LEVEL,,COMPRIMIDO/CAPSULA,"0,02",,,63
MOLIERE 20 MCG 24 COMPRIMIDOS,MOLIERE,,COMPRIMIDO/CAPSULA,"0,02",,,24
PRIMERA 20 MCG 21 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,02",,,21
PRIMERA 20 MCG 63 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,02",,,63
PRIMERA 20 MCG COM 63 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,02",,,63
PRIMERA 20 MCG COMPRIMIDOS 1 X 63 SIMILAR,PRIMERA,,COMPRIMIDO/CAPSULA,"0,02",,,63
PRIMERA 20 MCG CX 21 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,02",,,21
AAS 100 MG BRAS,AAS,BRASTERAPICA,UNIDADE,"100,00",,,
PROSTAGLANDINA 20 MCG / ML,PROSTAGLANDINA,,SOLUCAO,"0,02",,,
BIO BIO MANGUINHOS BETAINTERFERONA 22 MCG BIONOVIS,BETAINTERFERONA,BIONOVIS,,"0,02",,,
AAS 100 MG BRASTERAPICA,AAS,BRASTERAPICA,UNIDADE,"100,00",,,
LEVOTIROXINA SODICA 25 MCG ACHE,LEVOTIROXINA SODICA,ACHE,,"0,03",,,
AAS 100 MG IMEC,AAS,IMEC,UNIDADE,"100,00",,,
LEVOTIROXINA 25 MCG 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA 25 MCG COM 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA SODICA 25 MCG 30 COMPRIMIDOS GEN,LEVOTIROXINA SODICA,GENERICO,COMPRIMIDO/CAPSULA,"0,03",,,30
PROSTOKOS 25 MCGMS 100 COMPRIMIDOS HEBRON,PROSTOKOS,HEBRON,COMPRIMIDO/CAPSULA,"0,03",,,100
LEVOTIROXINA 25 MCG COM 30 COMPRIMIDOS COM 1 MERCK,LEVOTIROXINA,MERCK,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA SODICA 25 MCG 30 COMPRIMIDOS GEN MERCK,LEVOTIROXINA SODICA,MERCK,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA SODICA 25 MCG APRES CX COM 30 COMPRIMIDOS MERCK,LEVOTIROXINA SODICA,MERCK,COMPRIMIDO/CAPSULA,"0,03",,,30
"CALCITRIOL , 0 , 25 MCG",CALCITRIOL,,,"0,03",,,
EUTHYROX 25 MCG CART 50 COMPRIMIDOS,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,03",,,50
AAS 100 MG INFANTIL COM 200 MARCA : BRASTERAPI,AAS,BRASTERAPICA,UNIDADE,"100,00",,,200
LEVOID 25 MCG COM 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOID 25 MCG CX 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA 25 MCG COMPRIMIDOS COM 30,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA 25 MCG CX / 30 COMPRIMIDOS,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA 25 MCG CX / 30 COMPRIMIDOS G,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA 25 MCG CX 30 COMPRIMIDOS G,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA SOD 25 MCG 30 COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA SODICA 25 MCG 30 C,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA SODICA 25 MCG 30 COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,03",,,30
LEVOTIROXINA SODICA 25 MCG COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,03",,,
LEVOTIROXINA SODICA 25 MCG CX 30 COMPRIMIDOS G,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,03",,,30
AAS 100 MG INFANTIL COM 200 MARCA : IMEC,AAS,IMEC,UNIDADE,"100,00",,,200
PURAN T 4 25 MCG 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,03",,,30
PURAN T 4 25 MCG COM 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,03",,,30
PURAN T 4 25 MCG CX 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,03",,,30
SERETIDE 25 / 125 MCG SPRAY 120 DOSES,SERETIDE,,FRASCO,"0,03",,,120
SERETIDE SPRAY 25 / 125 MCG 120,SERETIDE,,FRASCO,"0,03",,,120
SERETIDE SPRAY 25 / 125 MCG C 120 DOSES,SERETIDE,,FRASCO,"0,03",,,120
SERETIDE 25 / 125 MCG,SERETIDE,,FRASCO,"0,03",,,
SERETIDE SPY 25 / 125 MCG,SERETIDE,,FRASCO,"0,03",,,
"SIGMATRIOL 0 , 25 MCG FR 30 CAP",SIGMATRIOL,,COMPRIMIDO/CAPSULA,"0,03",,,30
AAS 100 MG INFANTIL CX COM 200 MARCA : MEDQUIMICA,AAS,MEDQUIMICA,UNIDADE,"100,00",,,200
AAS 100 MG INFANTIL DORMEC,AAS DORMEC,,UNIDADE,"100,00",,,
AAS 100 MG INFANTIL DORMEC EMS,AAS DORMEC,EMS,UNIDADE,"100,00",,,
AAS 100 MG UNIAO QUIMICA,AAS,UNIAO QUIMICA,UNIDADE,"100,00",,,
AAS 500 MG ACIDO ACETILSALISILICO,AAS,,UNIDADE,"500,00",,,
AAS 500 MG ADULTO COM 500 MARCA : IMEC,AAS,IMEC,UNIDADE,"500,00",,,500
BIPERIDENO 5 MG / 1 ML,BIPERIDENO,,SOLUCAO,"0,03",1,,
AAS 500 MG IMEC,AAS,IMEC,UNIDADE,"500,00",,,
AAS ADULTO 500 MG CX COM 500 IMEC,AAS,IMEC,UNIDADE,"500,00",,,500
"LUMIGAM 0 , 03 MG 5 ML",LUMIGAM,,SOLUCAO,"0,03",5,,
PRIMERA 30 MCG 63 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,03",,,63
PRIMERA 30 MCG CARTELA COM 21 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,03",,,21
PRIMERA 30 MCG COM 63 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,03",,,63
PRIMERA 30 MCG COMPRIMIDOS 1 X 63 ETICO,PRIMERA,,COMPRIMIDO/CAPSULA,"0,03",,,63
PRIMERA 30 MCG CX 21 COMPRIMIDOS,PRIMERA,,COMPRIMIDO/CAPSULA,"0,03",,,21
BUDESONIDA 32 MCG / DOSE NASAL FR MARCA : BIOSI,BUDESONIDA,BIOSINTETICA,FRASCO,"0,03",,,
BUDESONIDA 32 MCG / DOSE SUSPENSAO PARA INALACAO NASAL 60 DOSES EMS,BUDESONIDA,EMS,FRASCO,"0,03",,,60
BUDESONIDA 32 MCG EMS,BUDESONIDA,EMS,,"0,03",,,
"BUDOSENIDA , AEROSOL NASAL , 32 MCG / DOSE EMS",BUDOSENIDA,EMS,SOLUCAO,"0,03",,,
BUDESOMIDA 32 MCG 120 DOSES,BUDESOMIDA,,SOLUCAO,"0,03",,,120
BUDESONDA 32 MCG FRASCO,BUDESONDA,,FRASCO,"0,03",,,
BUDESONID 32 MCG 6 ML,BUDESONID,,SOLUCAO,"0,03",6,,
BUDESONIDA 32 MCG 120 DOSES,BUDESONIDA,,SOLUCAO,"0,03",,,120
BUDESONIDA 32 MCG DOSE,BUDESONIDA,,SOLUCAO,"0,03",,,
BUDESONIDA 32 MCG SOL NAS COM 1,BUDESONIDA,,SOLUCAO,"0,03",,,1
BUDESONIDA INALIDE 32 MCG SUSP 120 DS,BUDESONIDA,,FRASCO,"0,03",,,120
BUDESONIDA 32 MCG,BUDESONIDA,,,"0,03",,,
BUSONID 32 MCG 6 ML,BUSONID,,SOLUCAO,"0,03",6,,
BUSONID 32 MCG SUS NAS FR 6 ML 1,BUSONID,,FRASCO,"0,03",6,,
BUSONID 32 MCG 120 DS NASAL,BUSONID,,FRASCO,"0,03",,,120
BUSONID 32 MCG AQ NASAL 120 DOS,BUSONID,,FRASCO,"0,03",,,120
BUSONID 32 MCG AQUOSO NASAL 120 DOSES,BUSONID,,FRASCO,"0,03",,,120
BUSONID 32 MCG NAS AQ 120 DOSE,BUSONID,,FRASCO,"0,03",,,120
BUSONID 32 MCG SUSP AQU NAS 6 ML,BUSONID,,FRASCO,"0,03",,,
BUSONID AQ NA 32 MCG 120 D S / CO,BUSONID,,FRASCO,"0,03",,,120
BUSONID AQ NASAL 32 MCG 120 DS,BUSONID,,FRASCO,"0,03",,,120
BUSONID AQU / NAS 32 MCG,BUSONID,,FRASCO,"0,03",,,
BUSONID AQU / NAS 32 MCG 120 DS,BUSONID,,FRASCO,"0,03",,,120
BUSONID AQUOSO NASAL 32 MCG 120 DOSES,BUSONID,,FRASCO,"0,03",,,120
BUSONID AQUOSO NASAL 32 MCG SU,BUSONID,,FRASCO,"0,03",,,
BUSONID AQUOSO NASAL 32 MCG SUSP,BUSONID,,FRASCO,"0,03",,,
BUSONID NAS 32 MCG,BUSONID,,FRASCO,"0,03",,,
BUSONID NAS 32 MCG 120 D,BUSONID,,FRASCO,"0,03",,,120
AAS DORMEC INF 100 MG IMEC,AAS DORMEC,IMEC,UNIDADE,"100,00",,,
AAS INF COM 10 SANOFI,AAS,SANOFI,UNIDADE,,,,10
AAS INF SANOFI,AAS,SANOFI,UNIDADE,,,,
BUDESONIDA 32 MCG SPR 120 DO,BUDESONIDA,,FRASCO,"0,03",,,120
BUDESONIDA 32 MCG SPR 120 DOSES,BUDESONIDA,,FRASCO,"0,03",,,120
BUDESONIDA 32 MCG SPRAY NASAL 120 DOSES,BUDESONIDA,,FRASCO,"0,03",,,120
INALAJET SUSP SPRY 32 MCG,INALAJET,,FRASCO,"0,03",,,
INALAJET SPY 32 MCG,INALAJET,,SOLUCAO,"0,03",,,
INALID 32 MCG SPR 120 DOSES,INALID,,FRASCO,"0,03",,,120
INALIDE 32 MCG SUS SPR NAS FR 1,INALIDE,,FRASCO,"0,03",,,1
INALIDE 32 MCG SPY,INALIDE,,SOLUCAO,"0,03",,,
AAS INFANTIL,AAS,,UNIDADE,,,,
NOEX 32 MCG SPRAY NAS COM 120 DS,NOEX,,FRASCO,"0,03",,,120
AAS INFANTIL 100 MG,AAS,,UNIDADE,"100,00",,,
AAS INFANTIL 100 MG CX C 200 FW,AAS,,UNIDADE,"100,00",,,200
AAS INFANTIL 100 MG CX COM 1000,AAS,,UNIDADE,"100,00",,,1000
AAS INFANTIL 100 MG CX COM 1000 IMEC,AAS,IMEC,UNIDADE,"100,00",,,1000
LEVOTIROXINA SODICA 38 MCG C 30 COMPRIMIDOS MERCK,LEVOTIROXINA SODICA,MERCK,COMPRIMIDO/CAPSULA,"0,04",,,30
LEVOTIROXINA SODICA 38 MCG C 30 COMPRIMIDOS MERCK SA,LEVOTIROXINA SODICA,MERCK,COMPRIMIDO/CAPSULA,"0,04",,,30
LEVOID 38 MCG COM 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,04",,,30
LEVOID 38 MCG CX 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,04",,,30
"FENTANILA 0 , 05 MG 10 ML A 1 HIPOLABOR",FENTANILA,HIPOLABOR,SOLUCAO,"0,04",10,,
"TRAVATAN 0 , 04 MG OFT 5 ML",TRAVATAN,,SOLUCAO,"0,04",5,,
"TRAVATAN 0 , 04 MG / ML COL 2 , 5 ML",TRAVATAN,,SOLUCAO,"0,04",2.5,,
"TRAVATAN 0 , 04 MG / ML SOL OFTALM COM 2 , 5 ML",TRAVATAN,,SOLUCAO,"0,04",2.5,,
"TRAVATAN BAK FREE 0 , 04 MG GTS 2",TRAVATAN,,GOTAS,"0,04",,,
"TRAVATAN 0 , 04 MG / ML SOLUCAO OFTALMICA 2 ,",TRAVATAN,,SOLUCAO,"0,04",,,
"TRAVOPROSTA 0 , 04 MG OFT 2 , 5 ML",TRAVOPROSTA,,SOLUCAO,"0,04",2.5,,
"TRAVOPROSTA 0 , 04 MG \/ ML SOLUCAO OFTALMICA 2 , 5 ML",TRAVOPROSTA,,SOLUCAO,"0,04",2.5,,
TRAVOPROSTA 0 04 MG ML SOLUCAO OFTALMICA 2 5 ML,TRAVOPROSTA,,SOLUCAO,"0,04",2.5,,
"TRAVOPROSTA 2 , 5 ML 0 , 04 MG",TRAVOPROSTA,,SOLUCAO,"0,04",2.5,,
"TRAVOPROSTA 0 , 04 MG / ML SOL OFT",TRAVOPROSTA,,SOLUCAO,"0,04",,,
BIO BIO MANGUINHOS BETAINTERFERONA 44 MCG BIONOVIS,BETAINTERFERONA,BIONOVIS,,"0,04",,,
BUDESONIDA 50 MCG FR 120 DOSES BUSONID ACHE,BUDESONIDA,ACHE,FRASCO,"0,05",,,120
"BUDESONIDA 50 MCG AEROSSOL NASAL , 100 DOSES ACHE",BUDESONIDA,ACHE,SOLUCAO,"0,05",,,100
BUDESONIDA 50 MCG NASAL ACHE,BUDESONIDA,ACHE,SOLUCAO,"0,05",,,
"BUDOSENIDA AEROSOL NASAL , 50 MCG / DOSE ACHE",BUDOSENIDA,ACHE,SOLUCAO,"0,05",,,
BUDOSENIDA AEROSSOL 50 MCG / DOSE ACHE,BUDOSENIDA,ACHE,SOLUCAO,"0,05",,,
AAS INFANTIL 100 MG CX COM 500 BRASTERAPICA,AAS,BRASTERAPICA,UNIDADE,"100,00",,,500
LEVOTIROXINA SODICA 50 MCG ACHE,LEVOTIROXINA SODICA,ACHE,,"0,05",,,
"BUDESONIDA 50 MCG AEROSSOL NASAL , 100 DOSES BIOSINTETICA",BUDESONIDA,BIOSINTETICA,SOLUCAO,"0,05",,,100
BUDESONIDA 50 MCG / DOSE SUSPENSAO PARA INALACAO NASAL 60 DOSES EMS,BUDESONIDA,EMS,FRASCO,"0,05",,,60
BUDESONIDA 50 MCG SPRAY NASAL NOEX EUROF,BUDESONIDA,EUROFARMA,FRASCO,"0,05",,,
FENTANILA 50 UG / ML AMPOLAS 10 ML FRESEN F A 1 G + 50,FENTANILA,FRESENIUS,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,
FENTANILA 500 MCG / 10 ML CX / 50 AMPOLAS FRESENIUS,FENTANILA,FRESENIUS,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,50
FENTANILA INJ 50 UG / ML 10 ML A 1 CX COM 50 FRESENIUS,FENTANILA,FRESENIUS,INJETAVEL,"0,05",10,,50
LEVOTIROXINA 50 MCG 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOTIROXINA 50 MCG COM 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,05",,,30
"LATANOPROSTA SOLUCAO OFTALMICA 0 , 05 MG / ML FR 2 , 5 ML GEOLA",LATANOPROSTA,GEOLAB,FRASCO,"0,05",2.5,,
"FENTANIL INJ 0 , 05 MG / ML DE 10 ML HIPOL A 1",FENTANIL,HIPOLABOR,INJETAVEL,"0,05",10,,
"FENTANILA 0 , 05 MH INJ 2 ML HIPOLABOR",FENTANILA,HIPOLABOR,INJETAVEL,"0,05",2,,
FENTANILA INJ 50 UG / ML 02 ML A 1 CX COM 50 HIPOLABOR,FENTANILA,HIPOLABOR,INJETAVEL,"0,05",2,,50
FENTANILA 50 MCG / ML G EP / IM / IV COM 50 AMPOLAS 10 ML A 1 MARCA : HIPOLABOR,FENTANILA,HIPOLABOR,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,50
FENTANILA 50 UGML AMPOLAS 10 ML HIPOL DA 1 G + 50,FENTANILA,HIPOLABOR,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,
"FENTANILA 0 , 05 MG / ML , SOLUCAO INJETAVEL EM FRASCO AMPOLA 10 ML HIPOL A 1",FENTANILA,HIPOLABOR,FRASCO,"0,05",10,,
CITRATO DE FENTANILA 50 MCG / ML 2 ML 50 AMPOLAS HIPOLABOR OK,FENTANILA,HIPOLABOR,AMPOLA OU FRASCO-AMPOLA,"0,05",100,,50
"FENTANILA , CITRATO 0 , 05 MG / ML SOLUCAO INJETAVEL 2 ML HIPOL A 1",FENTANILA CITRATO,HIPOLABOR,INJETAVEL,"0,05",2,,
"FENTANILA CIT 0 , 05 MG / ML 10 ML A 1 GENERICO LAB HIPOLABOR AS 011 / 23 M",FENTANILA CITRATO,HIPOLABOR,SOLUCAO,"0,05",10,,
"FENTANILA CIT 0 , 05 MG / ML 10 ML A 1 GENERICO LAB HIPOLABOR AS 039 / 22 M",FENTANILA CITRATO,HIPOLABOR,SOLUCAO,"0,05",10,,
"FENTANILA CIT 0 , 05 MG / ML 10 ML A 1 GENERICO LAB HIPOLABOR AS 294 / 21 M",FENTANILA CITRATO,HIPOLABOR,SOLUCAO,"0,05",10,,
"FENTANILA CIT 0 , 05 MG / ML 10 ML A 1 GENERICO LAB HIPOLABOR AS 295 / 21 M",FENTANILA CITRATO,HIPOLABOR,SOLUCAO,"0,05",10,,
"FENTANILA CIT 0 , 05 MG / ML 10 ML A 1 GENERICO LAB HIPOLABOR AS 343 / 20",FENTANILA CITRATO,HIPOLABOR,SOLUCAO,"0,05",10,,
LEVOTIROXINA 50 MCG COM 50 COMPRIMIDOS EUTHYROX MERCK,EUTHYROX,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,50
LEVOTIROXINA 50 MCG COM 50 COMPRIMIDOS S EUTHYROX MERCK,EUTHYROX,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,50
LEVOTIROXINA 50 MCG COMPRIMIDOS EUTHYROX MERCK,EUTHYROX,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,
LEVOTIROXINA SODICA COMPRIMIDO 50 MCG COMPRIMIDOS EUTHYROX MERCK,EUTHYROX,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,
AAS INFANTIL 100 MG CX COM 500 IMEC,AAS,IMEC,UNIDADE,"100,00",,,500
AAS INFANTIL 100 MG ENV COM 10 DORMEC,AAS DORMEC,,UNIDADE,"100,00",,,10
LEVOTIROXINA 50 MCG APRES CX COM 50 CPRS MERCK,LEVOTIROXINA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,50
LEVOTIROXINA 50 MCG COM 50 COMPRIMIDOS COM 1 MERCK,LEVOTIROXINA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,50
LEVOTIROXINA 50 MCG COMPRIMIDOS COM 1 MERCK,LEVOTIROXINA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,1
LEVOTIROXINA 50 MCG COMPRIMIDOS MERCK,LEVOTIROXINA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,
LEVOTIROXINA 50 MCG CPRS MERCK,LEVOTIROXINA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,
AAS INFANTIL IMEC,AAS INFANTIL,IMEC,UNIDADE,,,,
LEVOTIROXINA SOD 50 MCG 30 COMPRIMIDOS MERCK,LEVOTIROXINA SODICA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOTIROXINA SODICA 50 MCG 30 COMPRIMIDOS GEN MERCK,LEVOTIROXINA SODICA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOTIROXINA SODICA 50 MCG COMPRIMIDOS MERCK,LEVOTIROXINA SODICA,MERCK,COMPRIMIDO/CAPSULA,"0,05",,,
LEVOTIROXINA SODICA 50 MCG MERCK,LEVOTIROXINA SODICA,MERCK,,"0,05",,,
"DIGOXINA 0 , 05 MG / ML ELXIR 60 ML MARCA : PRATI DONA",DIGOXINA,PRATI DONADUZZI,SOLUCAO,"0,05",60,,
"DIGOXINA 0 , 05 MG ML PRATI DONADUZZI",DIGOXINA,PRATI DONADUZZI,SOLUCAO,"0,05",,,
"FENTANILA 0 , 05 MG 10 ML A 1 CX / 50 AMPOLAS TEUTO A 1",FENTANILA,TEUTO,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,50
"FENTANILA 0 , 05 MG 10 ML TEUTO",FENTANILA,TEUTO,SOLUCAO,"0,05",10,,
"FENTANILA 0 , 05 MG / 10 ML UNIAO",FENTANILA,UNIAO QUIMICA,SOLUCAO,"0,05",10,,
"FENTANILA 0 , 05 MG 10 ML A 1 UNIAO",FENTANILA,UNIAO QUIMICA,SOLUCAO,"0,05",10,,
"FENTANILA 0 , 05 MG ML COM 10 ML UNIAO A 1",FENTANILA,UNIAO QUIMICA,SOLUCAO,"0,05",10,,
"FENTANILA 0 , 05 MG 10 ML MARCA UNIAO QUIMICA",FENTANILA,UNIAO QUIMICA,SOLUCAO,"0,05",10,,
FENTANILA 50 MCG / ML EP / IM / IV COM 25 AMPOLAS 5 ML A 1 MARCA : U QUIMICA,FENTANILA,UNIAO QUIMICA,AMPOLA OU FRASCO-AMPOLA,"0,05",5,,25
FENTANILA UNIFENTAL 50 MCG / ML F / A 10 ML U QUIMICA,FENTANILA,UNIAO QUIMICA,FRASCO,"0,05",10,,
AMOME 50 MCG SUS NASAL,AMOME,,FRASCO,"0,05",,,
AMOME 50 MCG SUS NASAL 120 ACIO,AMOME,,FRASCO,"0,05",,,120
AAS INFANTIL L 0800808,AAS INFANTIL,,UNIDADE,,,,
ANTUX 6 MG XPE FR 120 ML + CM ADU,ANTUX,,FRASCO,"0,05",120,,
BECLOMETASONA 50 MCG / DOSE SOLUCAO INALATORIA FRASCO 200 DOSES,BECLOMETASONA,,SOLUCAO,"0,05",,,200
AAS TAMPONADO 100 MG EMS,AAS TAMPONADO,EMS,UNIDADE,"100,00",,,
BUDESOMIDA 50 MCG 120 DOSES,BUDESOMIDA,,SOLUCAO,"0,05",,,120
"BECLOMETASONA DIPROPIONATO , 50 MCG / DOSE , SPRAY ORAL , COM 200 DOSES",BECLOMETASONA DIPROPIONATO,,FRASCO,"0,05",,,200
BUDESONIDA AEROSSOL NASAL 50 MCG EQUIVALENTE A 32 MCG FR 200 DS,BUDESONIDA,,FRASCO,"0,05",,,200
BUDESONIDA 50 MCG / DOSE 120 DOSES SOL NASAL,BUDESONIDA,,SOLUCAO,"0,05",,,120
"BUDESONIDA 50 MCG AEROSSOL NASAL , 100 DOSES",BUDESONIDA,,SOLUCAO,"0,05",,,100
BUDESONIDA 50 MCG DOSES,BUDESONIDA,,SOLUCAO,"0,05",,,
BUDESONIDA AEROSOL NASAL 50 MCG / DOSE,BUDESONIDA,,SOLUCAO,"0,05",,,
BUSONID 50 MCG 6 ML,BUSONID,,SOLUCAO,"0,05",6,,
BUSONID 50 MCG SUS NAS FR 6 ML 1,BUSONID,,FRASCO,"0,05",6,,
BUSONID 50 MCG AER NASAL 10 ML,BUSONID,,FRASCO,"0,05",10,,
BUSONID 50 MCG NASAL 10 ML,BUSONID,,FRASCO,"0,05",10,,
BUSONID 50 MCG AQUO 200 D,BUSONID,,SOLUCAO,"0,05",,,200
BUSONID 50 MCG AQUO 200 DOSES,BUSONID,,SOLUCAO,"0,05",,,200
BUSONID AQUA 50 MCG 120 DOSES BUDESONIDA,BUSONID,,SOLUCAO,"0,05",,,120
BUSONID 50 MCG AERO NASAL 200 DOSES,BUSONID,,FRASCO,"0,05",,,200
BUSONID 50 MCG AQ NASAL 120 DOS,BUSONID,,FRASCO,"0,05",,,120
BUSONID 50 MCG AQUO / NASAL 120 DO,BUSONID,,FRASCO,"0,05",,,120
BUSONID 50 MCG AQUOSO NASAL 120 DOSES,BUSONID,,FRASCO,"0,05",,,120
BUSONID 50 MCG AQUOSO NASAL 120 DOSES 50 MCG AQUOSO 120 DOSES,BUSONID,,FRASCO,"0,05",,,120
BUSONID 50 MCG NAS AQ 120,BUSONID,,FRASCO,"0,05",,,120
BUSONID 50 MCG NAS AQ 120 DOSES,BUSONID,,FRASCO,"0,05",,,120
BUSONID 50 MCG NASAL 120 DOSES BUDESONIDA,BUSONID,,FRASCO,"0,05",,,120
BUSONID 50 MCG SUSP AQU NASAL 6,BUSONID,,FRASCO,"0,05",,,
